id,count
1433,246.1
1434,148.29
1436,325.75
1442,248.27
1444,88.78
1445,121.82
1452,205.57
1455,168.98
1462,62.66
1467,77.08
1472,46.16
1475,196.81
1493,118.97
1501,232.33
1503,298.74
1504,223.56
1505,14.88
1511,230.46
1512,47.78
1513,87.24
1514,33.66
1528,230.28
1533,230.82
1534,30.2
1536,149.7
1537,77.67
1539,202.92
1550,211.99
1552,212.19
1554,190.9
1555,361.67
1556,97.32
1559,32.15
1563,244.18
1566,142.34
1567,147.65
1568,30.72
1571,239.05
1572,18.81
1574,44.85
1577,17.31
1583,72.14
1585,33.18
1586,188.97
1587,189.01
1596,151.0
1602,33.92
1604,87.4
1605,34.24
1610,306.21
1611,91.96
1616,33.44
1617,96.32
1618,15.77
1622,42.43
1623,31.45
1628,311.67
1631,17.54
1632,197.38
1633,241.86
1634,312.48
1636,205.47
1637,103.2
1643,122.7
1644,103.55
1646,96.11
1648,218.09
1651,36.34
1656,20.54
1658,146.09
1659,18.23
1665,176.55
1666,140.48
1670,36.36
1674,141.93
1679,176.85
1680,220.26
1683,334.8
1686,29.09
1691,97.77
1693,36.12
1696,37.26
1697,97.5
1703,99.61
1706,28.92
1709,170.34
1710,91.68
1712,190.54
1713,122.37
1718,340.43
1719,177.24
1722,281.5
1723,123.15
1724,276.27
1728,68.17
1730,30.87
1732,27.81
1737,34.43
1745,91.6
1747,15.04
1748,14.02
1755,104.51
1759,17.31
1761,269.68
1764,228.28
1765,149.21
1766,90.05
1768,103.63
1770,31.7
1771,143.32
1774,96.85
1785,129.02
1788,169.68
1792,15.12
1794,220.08
1797,121.97
1798,15.04
1799,272.96
1802,105.26
1806,46.28
1808,82.75
1810,250.55
1818,118.42
1819,364.43
1820,275.72
1822,217.98
1826,215.39
1827,168.47
1835,18.74
1841,112.14
1842,147.91
1843,17.52
1846,46.9
1849,97.67
1850,204.76
1851,196.85
1857,49.78
1858,175.76
1860,96.13
1861,244.13
1864,117.17
1869,316.72
1871,61.48
1872,27.1
1875,17.19
1878,218.39
1879,237.96
1885,90.08
1888,108.97
1889,30.78
1890,95.99
1896,145.3
1897,183.63
1898,119.94
1900,102.02
1905,35.64
1908,119.64
1909,102.95
1913,65.32
1918,110.9
1922,316.69
1923,130.0
1925,266.35
1926,141.54
1927,302.91
1930,184.56
1935,71.57
1939,114.65
1942,95.95
1943,39.58
1948,254.46
1949,261.64
1951,105.44
1953,118.08
1959,125.47
1963,17.82
1967,132.59
1973,257.07
1975,27.33
1976,86.38
1990,116.1
1993,109.15
1997,190.04
1999,128.65
2001,297.14
2004,88.25
2010,109.56
2013,137.86
2017,298.5
2021,115.24
2023,153.73
2026,145.25
2037,29.07
2039,178.88
2041,16.91
2046,27.51
2050,16.14
2060,216.39
2067,102.93
2069,146.25
2072,267.04
2074,132.63
2079,117.37
2083,29.1
2085,175.81
2087,17.53
2093,151.2
2094,32.77
2097,33.02
2103,97.54
2104,50.24
2107,205.48
2108,20.46
2110,95.31
2115,177.15
2117,29.29
2125,316.58
2127,258.25
2133,14.96
2134,366.47
2135,119.12
2141,243.09
2143,41.31
2145,86.71
2146,31.2
2147,272.16
2148,55.1
2149,64.79
2165,119.77
2166,152.85
2177,177.66
